,silenced,tick,user_approximate_spotted_by,user_name,user_pitch,user_steamid,user_yaw,weapon
0,False,1316,[],chopper,23.408081,76561198045898864,12.45369,weapon_knife_stiletto
1,False,1341,[],SH1R0,8.717316,76561198081484775,-117.37244,weapon_knife_butterfly
2,False,1564,[],SH1R0,4.896469,76561198081484775,-85.591736,weapon_knife_butterfly
3,False,1581,[],rain,0.87135315,76561197997351207,-177.35059,weapon_knife_karambit
4,False,1606,[],rain,3.0888672,76561197997351207,-178.14227,weapon_knife_karambit
5,False,1632,[],rain,3.0490417,76561197997351207,-178.14227,weapon_knife_karambit
6,False,1678,[],rain,2.3363037,76561197997351207,-135.45387,weapon_knife_karambit
7,False,1707,[],rain,2.5344086,76561197997351207,-145.63098,weapon_knife_karambit
8,False,2211,[],rain,-1.0296326,76561197997351207,154.81317,weapon_glock
9,True,2216,[76561197997351207],donk,0.7975464,76561198386265483,-24.358398,weapon_usp_silencer
10,False,2223,[76561198386265483],rain,-0.2770691,76561197997351207,157.18896,weapon_glock
11,True,2231,[76561197997351207],donk,0.4676056,76561198386265483,-24.303467,weapon_usp_silencer
12,False,2240,[76561198386265483],rain,0.1980896,76561197997351207,155.724,weapon_glock
13,True,2246,[76561197997351207],donk,0.05493164,76561198386265483,-24.523544,weapon_usp_silencer
14,False,2255,[],rain,0.15826416,76561197997351207,155.13004,weapon_glock
15,True,2262,[],donk,0.6049347,76561198386265483,-24.22107,weapon_usp_silencer
16,False,2272,[],rain,0.31689453,76561197997351207,155.724,weapon_glock
17,True,2278,[],donk,0.32992554,76561198386265483,-24.138336,weapon_usp_silencer
18,True,2280,[],zont1x,0.41577148,76561198995880877,-23.538895,weapon_usp_silencer
19,False,2288,[],rain,0.15826416,76561197997351207,154.85263,weapon_glock
20,True,2295,[],donk,0.05493164,76561198386265483,-23.946075,weapon_usp_silencer
21,True,2301,[],zont1x,0.32341003,76561198995880877,-25.918121,weapon_usp_silencer
22,True,2309,[],donk,0.2749939,76561198386265483,-23.175995,weapon_usp_silencer
23,True,2324,[],donk,0.7975464,76561198386265483,-23.423538,weapon_usp_silencer
24,False,2348,[],frozen,0.39619446,76561198068422762,160.8038,weapon_glock
25,False,2361,[],frozen,0.087890625,76561198068422762,161.15604,weapon_glock
26,True,2365,[76561198068422762],donk,0.24752808,76561198386265483,-16.988297,weapon_usp_silencer
27,False,2373,[],frozen,0.043945312,76561198068422762,161.63977,weapon_glock
28,True,2381,[76561198068422762],donk,-0.10986328,76561198386265483,-18.748505,weapon_usp_silencer
29,False,2387,[76561198386265483],frozen,0.13217163,76561198068422762,161.77197,weapon_glock
30,True,2396,[76561198068422762],donk,0.08239746,76561198386265483,-18.693573,weapon_usp_silencer
31,False,2396,[],broky,0.08343506,76561198201620490,162.20831,weapon_glock
32,False,2400,[76561198386265483],frozen,0.5719757,76561198068422762,161.59583,weapon_glock
33,False,2412,[76561198386265483],broky,0.41781616,76561198201620490,161.99924,weapon_glock
34,False,2414,[76561198386265483],frozen,0.7481079,76561198068422762,161.24393,weapon_glock
35,True,2415,"[76561198068422762, 76561198201620490]",donk,0.6876831,76561198386265483,-18.996048,weapon_usp_silencer
36,False,2428,[76561198386265483],frozen,0.22006226,76561198068422762,160.27576,weapon_glock
37,False,2433,[76561198386265483],broky,0.08343506,76561198201620490,161.91583,weapon_glock
38,False,2439,[76561198386265483],frozen,0.26400757,76561198068422762,160.27576,weapon_glock
39,False,2456,[],frozen,-1.7159271,76561198068422762,157.85535,weapon_glock
40,False,2458,[],broky,-1.6300964,76561198201620490,159.90979,weapon_glock
41,False,2468,[],broky,-1.4213562,76561198201620490,158.94849,weapon_glock
42,False,2469,[],frozen,-2.1121216,76561198068422762,157.19547,weapon_glock
43,False,2478,[],frozen,-1.3640137,76561198068422762,156.75534,weapon_glock
44,False,2478,[],broky,0.20907593,76561198201620490,158.02872,weapon_glock
45,False,2484,[],SH1R0,1.4642639,76561198081484775,-45.32306,weapon_hkp2000
46,False,2514,[],karrigan,-1.2277222,76561197989430253,134.65427,weapon_glock
47,False,2523,[],SH1R0,1.2582703,76561198081484775,-45.117065,weapon_hkp2000
48,False,2524,[],karrigan,-0.9901428,76561197989430253,133.58517,weapon_glock
49,False,2534,[],SH1R0,1.6472626,76561198081484775,-46.101044,weapon_hkp2000
50,False,2657,[],karrigan,-0.9503174,76561197989430253,136.79285,weapon_glock
51,False,3815,[],broky,-1.0031891,76561198201620490,91.48212,weapon_glock
52,False,3930,[],broky,-2.967682,76561198201620490,85.54642,weapon_glock
53,False,5369,[],karrigan,-13.70166,76561197989430253,53.396637,weapon_smokegrenade
54,False,5495,[],karrigan,-12.4344635,76561197989430253,45.357742,weapon_smokegrenade
55,False,5662,[],broky,5.768158,76561198201620490,24.5177,weapon_molotov
56,False,5689,[],karrigan,-19.641495,76561197989430253,48.4861,weapon_flashbang
57,False,5785,[],karrigan,3.286621,76561197989430253,59.970245,weapon_flashbang
58,False,5967,[],SH1R0,-4.4388123,76561198081484775,115.96277,weapon_hkp2000
59,False,5972,[],ropz,4.2057037,76561197991272318,-65.55336,weapon_glock
60,False,5985,[],SH1R0,-4.621811,76561198081484775,113.949524,weapon_hkp2000
61,False,5987,[],ropz,4.6341705,76561197991272318,-65.20317,weapon_glock
62,False,6002,[],SH1R0,-4.484482,76561198081484775,114.65881,weapon_hkp2000
63,False,6003,[],ropz,4.478302,76561197991272318,-64.2683,weapon_glock
64,False,6036,[],ropz,5.0622864,76561197991272318,-66.83842,weapon_glock
65,False,6059,[],SH1R0,-4.5301514,76561198081484775,114.26984,weapon_hkp2000
66,False,6059,[],ropz,4.3615723,76561197991272318,-64.85264,weapon_glock
67,False,6076,[],ropz,4.906769,76561197991272318,-64.69677,weapon_glock
68,False,6150,[],frozen,3.5200806,76561198068422762,-70.9885,weapon_glock
69,True,6161,[],donk,-4.4000244,76561198386265483,87.39795,weapon_usp_silencer
70,True,6209,[],donk,-7.892639,76561198386265483,91.19269,weapon_usp_silencer
71,False,6217,[76561198386265483],broky,3.7617798,76561198201620490,-92.8149,weapon_glock
72,True,6220,[],donk,-5.609894,76561198386265483,87.727905,weapon_usp_silencer
73,False,6223,[],ropz,9.345932,76561197991272318,-92.889404,weapon_glock
74,True,6231,[],donk,-5.032425,76561198386265483,82.94299,weapon_usp_silencer
75,False,6237,[],ropz,8.411072,76561197991272318,-93.162,weapon_glock
76,True,6242,[76561197991272318],donk,-9.184906,76561198386265483,82.20038,weapon_usp_silencer
77,False,6248,[76561197989430253],SH1R0,-5.3311157,76561198081484775,114.86447,weapon_hkp2000
78,True,6253,[76561197991272318],donk,-9.459915,76561198386265483,84.92294,weapon_usp_silencer
79,False,6259,[76561198081484775],karrigan,4.4350433,76561197989430253,-64.25526,weapon_glock
80,False,6263,[76561197989430253],SH1R0,-4.7817993,76561198081484775,114.68146,weapon_hkp2000
81,True,6264,[76561197991272318],donk,-9.102509,76561198386265483,84.92294,weapon_usp_silencer
82,False,6300,[],karrigan,4.474869,76561197989430253,-63.344765,weapon_glock
83,False,6332,[],magixx,6.765167,76561199063238565,169.82562,weapon_knife_skeleton
84,False,6357,[],magixx,7.47139,76561199063238565,166.7958,weapon_knife_skeleton
85,False,6383,[],magixx,7.383148,76561199063238565,164.44269,weapon_knife_skeleton
86,False,6409,[],magixx,7.294586,76561199063238565,164.58997,weapon_knife_skeleton
87,False,6434,[],magixx,7.883026,76561199063238565,153.05945,weapon_knife_skeleton
88,True,6438,[76561198201620490],donk,-3.0524902,76561198386265483,50.932953,weapon_usp_silencer
89,False,6444,[76561198386265483],broky,3.4692688,76561198201620490,-132.23213,weapon_glock
90,False,6445,[],SH1R0,-4.598816,76561198081484775,106.810455,weapon_hkp2000
91,True,6449,[76561198201620490],donk,-3.4373474,76561198386265483,46.2854,weapon_usp_silencer
92,False,6455,[76561198386265483],broky,4.0127563,76561198201620490,-134.99072,weapon_glock
93,False,6460,[],magixx,7.912567,76561199063238565,133.1464,weapon_knife_skeleton
94,True,6480,[76561198201620490],donk,-2.9151611,76561198386265483,40.9505,weapon_usp_silencer
95,False,6480,[76561198386265483],broky,2.1316833,76561198201620490,-139.04538,weapon_glock
96,False,6484,[],SH1R0,-4.5761414,76561198081484775,106.58179,weapon_hkp2000
97,True,6491,[76561198201620490],donk,-1.7598724,76561198386265483,40.043106,weapon_usp_silencer
98,True,6528,[],zont1x,0.87786865,76561198995880877,59.032288,weapon_usp_silencer
99,False,8156,[],zont1x,14.922516,76561198995880877,36.045456,weapon_knife_karambit
100,False,8188,[],zont1x,19.611969,76561198995880877,59.90776,weapon_knife_karambit
101,False,8214,[],zont1x,29.845047,76561198995880877,68.639496,weapon_knife_karambit
102,False,8280,[],chopper,-16.693726,76561198045898864,-50.763702,weapon_smokegrenade
103,False,8322,[],karrigan,12.117584,76561197989430253,59.058044,weapon_knife_m9_bayonet
104,False,8358,[],chopper,30.122452,76561198045898864,-0.9911804,weapon_knife_stiletto
105,False,8361,[],zont1x,7.3457336,76561198995880877,-154.46022,weapon_knife_karambit
106,False,8387,[],zont1x,-0.6238098,76561198995880877,-179.96292,weapon_knife_karambit
107,False,8494,[],zont1x,6.0290833,76561198995880877,-27.31784,weapon_knife_karambit
108,False,8533,[],zont1x,8.408325,76561198995880877,-28.334076,weapon_knife_karambit
109,False,8614,[],karrigan,18.374298,76561197989430253,157.54428,weapon_knife_m9_bayonet
110,False,8638,[],magixx,-27.855148,76561199063238565,-54.602737,weapon_incgrenade
111,False,8639,[],zont1x,5.289917,76561198995880877,-29.766418,weapon_knife_karambit
112,False,8665,[],zont1x,3.9732666,76561198995880877,-30.597961,weapon_knife_karambit
113,False,8806,[],zont1x,8.685379,76561198995880877,-58.248825,weapon_hegrenade
114,False,8907,[],karrigan,-10.335388,76561197989430253,98.14429,weapon_flashbang
115,False,8967,[],SH1R0,2.951538,76561198081484775,147.74243,weapon_knife_butterfly
116,False,9274,[],SH1R0,0.023010254,76561198081484775,-113.232994,weapon_knife_butterfly
117,False,9848,[],magixx,12.35379,76561199063238565,-169.05109,weapon_mp9
